white,black,opening,white_won
dijkstra,v3-final,24,0
v3-final,dijkstra,18,1
dijkstra,v3-final,18,0
v3-final,dijkstra,19,1
dijkstra,v3-final,19,0
v3-final,dijkstra,20,1
dijkstra,v3-final,20,0
v3-final,dijkstra,21,1
dijkstra,v3-final,21,0
v3-final,dijkstra,22,1
dijkstra,v3-final,22,0
v3-final,dijkstra,23,1
dijkstra,v3-final,23,0
